Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
9.4399995803833,0.07059061527252197,-9.4570951461792,-3.101926803588867,-2.4804866313934326,0.001444444409571588,-0.1666666865348816,-0.08080807328224182
9.449999809265137,0.07681071758270264,-9.354490280151367,-3.044771432876587,-2.4632976055145264,-0.0002222222974523902,-0.1666666865348816,-0.030303027480840683
9.460000038146973,0.07831278443336487,-9.250015258789062,-3.0825741291046143,-2.444733142852783,-0.0020000000949949026,-0.17777779698371887,0.020202018320560455
9.470000267028809,0.08943819254636765,-9.16944694519043,-3.0632355213165283,-2.4289190769195557,-0.003777778008952737,-0.17777779698371887,0.17171716690063477
9.479999542236328,0.0871017724275589,-9.07616901397705,-3.0698697566986084,-2.413105010986328,-0.005444444715976715,-0.1666666865348816,0.20202021300792694
9.489999771118164,0.06950786709785461,-8.962447166442871,-3.0804944038391113,-2.3959157466888428,-0.006999999284744263,-0.15555556118488312,0.3232322931289673
9.5,0.025933153927326202,-8.86825180053711,-3.0806612968444824,-2.380101442337036,-0.008666666224598885,-0.1666666865348816,0.46464645862579346
9.510000228881836,0.03672447428107262,-8.774789810180664,-3.0946850776672363,-2.363600015640259,-0.010222222656011581,-0.15555556118488312,0.616161584854126
9.520000457763672,0.011609015986323357,-8.679657936096191,-3.118711471557617,-2.3464107513427734,-0.011666666716337204,-0.14444445073604584,0.6565656661987305
9.529999732971191,0.01349166315048933,-8.604884147644043,-3.1070170402526855,-2.3326592445373535,-0.013222221285104752,-0.1555555760860443,0.6363636255264282
9.539999961853027,0.01931784115731716,-8.538252830505371,-3.121340274810791,-2.3182201385498047,-0.014555554836988449,-0.13333334028720856,0.7171717286109924
9.550000190734863,0.04997318983078003,-8.462481498718262,-3.082202434539795,-2.3051564693450928,-0.01577777788043022,-0.12222223728895187,0.8383839130401611
9.5600004196167,0.06342897564172745,-8.388981819152832,-3.0878522396087646,-2.291404962539673,-0.01688888855278492,-0.1111111119389534,0.8787878751754761
9.569999694824219,0.07089240849018097,-8.31203556060791,-3.1112420558929443,-2.27902889251709,-0.017999999225139618,-0.1111111119389534,0.9898989796638489
9.579999923706055,0.13085171580314636,-8.261297225952148,-2.9854836463928223,-2.2687156200408936,-0.019111111760139465,-0.1111111268401146,1.0606060028076172
9.59000015258789,0.1451491415500641,-8.206171035766602,-3.0320088863372803,-2.259777069091797,-0.020000001415610313,-0.08888889849185944,1.0303030014038086
9.600000381469727,0.1327834278345108,-8.161053657531738,-3.080314874649048,-2.2508385181427,-0.020777778699994087,-0.07777778059244156,1.0606060028076172
9.609999656677246,0.13718116283416748,-8.135848999023438,-3.0478098392486572,-2.246025562286377,-0.021444445475935936,-0.06666667014360428,1.1010100841522217
9.619999885559082,0.09616931527853012,-8.111248970031738,-3.0675551891326904,-2.2412126064300537,-0.021888889372348785,-0.04444444552063942,1.151515245437622
9.630000114440918,0.04440144822001457,-8.073064804077148,-3.09332537651062,-2.2377748489379883,-0.022333333268761635,-0.04444444552063942,1.151515245437622
9.640000343322754,0.05754769593477249,-8.045480728149414,-3.112367630004883,-2.2357120513916016,-0.02266666851937771,-0.03333333507180214,1.040403962135315
9.649999618530273,0.04340996593236923,-8.041097640991211,-3.0804603099823,-2.2343368530273438,-0.022888891398906708,-0.02222222276031971,0.9898989796638489
9.65999984741211,0.0502319261431694,-8.051355361938477,-3.073058605194092,-2.232961893081665,-0.023000000044703484,-0.011111111380159855,0.9494950175285339
9.670000076293945,0.09802483767271042,-8.089590072631836,-3.073038101196289,-2.2315866947174072,-0.023000000044703484,-1.7960979925568665e-13,0.9191920161247253
9.680000305175781,0.07219601422548294,-8.161459922790527,-3.0777106285095215,-2.2315869331359863,-0.02288888953626156,0.011111111380159855,0.9595959186553955
9.6899995803833,0.0550188384950161,-8.230916976928711,-3.0357718467712402,-2.232961893081665,-0.022777777165174484,0.011111111380159855,0.9595959186553955
9.699999809265137,0.05779566988348961,-8.284494400024414,-3.0381412506103516,-2.2363998889923096,-0.022555554285645485,0.02222222276031971,0.9696968793869019
