Time (s),Ay (m/s²),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
0.5600000023841858,-6.623363018035889,-2.4114062786102295,-0.19741670787334442,-1.4946993589401245,-0.5392059087753296
0.5699999928474426,-5.804847240447998,-2.262788772583008,-0.21244046092033386,-1.5023853778839111,0.31311964988708496
0.5799999833106995,-4.974311351776123,-2.1150758266448975,-0.2273348718881607,-1.4894393682479858,1.1579554080963135
0.5899999737739563,-4.363208293914795,-1.9733716249465942,-0.2420237809419632,-1.4688992500305176,2.059131622314453
0.6000000238418579,-3.203601598739624,-1.8272918462753296,-0.2565644085407257,-1.454057216644287,3.0093443393707275
0.6100000143051147,1.383041501045227,-0.6688190698623657,-0.2707512378692627,-1.4186748266220093,4.100830554962158
0.6200000047683716,3.5358941555023193,0.0765068382024765,-0.2844912111759186,-1.373985767364502,5.288782119750977
0.6299999952316284,3.4667539596557617,0.2573012411594391,-0.29774585366249084,-1.3254432678222656,6.4336724281311035
0.6399999856948853,4.521169185638428,0.5089343786239624,-0.3103301525115967,-1.258409857749939,7.692989349365234
0.6499999761581421,3.4079689979553223,0.7607814073562622,-0.3221450448036194,-1.181437373161316,8.904702186584473
0.6600000262260437,0.39535993337631226,-0.36011403799057007,-0.3327511250972748,-1.060560703277588,9.955682754516602
0.6700000166893005,0.6867016553878784,-0.7412428855895996,-0.3422604501247406,-0.9508868455886841,10.908273696899414
0.6800000071525574,0.4184066355228424,-0.7879887819290161,-0.350681334733963,-0.8420184254646301,11.743149757385254
0.6899999976158142,0.24681736528873444,-0.6558607220649719,-0.3576918840408325,-0.7009990215301514,12.283051490783691
0.699999988079071,0.32971489429473877,-0.5237442255020142,-0.3634735345840454,-0.5781040191650391,12.450947761535645
0.7099999785423279,0.645495593547821,-0.45601320266723633,-0.36800456047058105,-0.45303767919540405,12.334959983825684
0.7200000286102295,0.6947764754295349,-0.5985785722732544,-0.37117302417755127,-0.316768616437912,12.168437957763672
0.7300000190734863,0.6532250642776489,-0.7231335043907166,-0.37293362617492676,-0.1759938895702362,11.82016372680664
0.7400000095367432,0.4216564893722534,-0.737023651599884,-0.3735329806804657,-0.05988788232207298,11.309002876281738
0.75,0.21335750818252563,-0.6726493239402771,-0.3732157051563263,0.03178388997912407,10.824054718017578
0.7599999904632568,0.010708923451602459,-0.6511931419372559,-0.3718697726726532,0.13465851545333862,10.293641090393066
0.7699999809265137,-0.30069249868392944,-0.7463986277580261,-0.3694535791873932,0.24167175590991974,9.695446968078613
0.7799999713897705,-0.6698214411735535,-0.8353506922721863,-0.36614367365837097,0.33104997873306274,9.171573638916016
0.7900000214576721,-1.2078702449798584,-0.8632462024688721,-0.3619399666786194,0.42042818665504456,8.7482271194458
0.800000011920929,-2.0387682914733887,-0.923126757144928,-0.35684242844581604,0.5098063349723816,8.318541526794434
