Time (s),Fᵧ (N),rᵧ (m)
6.150000095367432,-3.1715755462646484,0.08826300501823425
6.159999847412109,-3.0456364154815674,0.08519565314054489
6.170000076293945,-2.9465198516845703,0.08232824504375458
6.179999828338623,-2.873962163925171,0.07957202941179276
6.190000057220459,-2.832221269607544,0.07694947719573975
6.199999809265137,-2.78999400138855,0.07450423389673233
6.210000038146973,-2.7402803897857666,0.07210413366556168
6.21999979019165,-2.679396152496338,0.06988118588924408
6.230000019073486,-2.6127514839172363,0.06770351529121399
6.239999771118164,-2.5274765491485596,0.06574822962284088
6.25,-2.456148862838745,0.06396986544132233
6.260000228881836,-2.376499891281128,0.06221425533294678
6.269999980926514,-2.3139476776123047,0.06056983768939972
6.28000020980835,-2.277191638946533,0.05905942618846893
6.289999961853027,-2.247344732284546,0.057748518884181976
6.300000190734863,-2.2230467796325684,0.056548792868852615
6.309999942779541,-2.2073895931243896,0.05548318848013878
6.320000171661377,-2.1869490146636963,0.054616980254650116
6.329999923706055,-2.1569178104400635,0.05386195331811905
6.340000152587891,-2.1243860721588135,0.05324115231633186
6.349999904632568,-2.097543239593506,0.052819643169641495
6.360000133514404,-2.0862996578216553,0.05250931531190872
6.369999885559082,-2.0756494998931885,0.0522870235145092
6.380000114440918,-2.075274705886841,0.05211110785603523
6.389999866485596,-2.0940492153167725,0.052157554775476456
6.400000095367432,-2.1178364753723145,0.05240311473608017
6.409999847412109,-2.1561827659606934,0.05278315395116806
6.420000076293945,-2.214905261993408,0.05338556319475174
6.429999828338623,-2.278090000152588,0.05423371121287346
6.440000057220459,-2.3391647338867188,0.055415406823158264
6.449999809265137,-2.401355266571045,0.05693065747618675
6.460000038146973,-2.463900566101074,0.05877945199608803
6.46999979019165,-2.5244946479797363,0.06096179783344269
6.480000019073486,-2.582634449005127,0.06347770243883133
6.489999771118164,-2.6475353240966797,0.06632715463638306
6.5,-2.724787950515747,0.06951016187667847
6.510000228881836,-2.8174033164978027,0.07302671670913696
6.519999980926514,-2.9200901985168457,0.07682943344116211
6.53000020980835,-3.0347208976745605,0.08079078793525696
6.539999961853027,-3.163728713989258,0.0850619375705719
6.550000190734863,-3.2882485389709473,0.08955543488264084
6.559999942779541,-3.424593210220337,0.09427132457494736
6.570000171661377,-3.5567829608917236,0.09920957684516907
6.579999923706055,-3.685302257537842,0.10437018424272537
6.590000152587891,-3.8254237174987793,0.10972922295331955
6.599999904632568,-3.9580037593841553,0.11519943177700043
6.610000133514404,-4.105256080627441,0.12080485373735428
6.619999885559082,-4.255252838134766,0.12658452987670898
6.630000114440918,-4.447697162628174,0.13238829374313354
6.639999866485596,-4.622528553009033,0.1383032351732254
6.650000095367432,-4.788222312927246,0.14430519938468933
6.659999847412109,-4.982573509216309,0.15030716359615326
6.670000076293945,-5.142491340637207,0.1563091278076172
6.679999828338623,-5.271711349487305,0.1623111069202423
6.690000057220459,-5.4228835105896,0.16831304132938385
6.699999809265137,-5.558199882507324,0.17429067194461823
6.710000038146973,-5.6832275390625,0.18015709519386292
6.71999979019165,-5.829371929168701,0.18593676388263702
6.730000019073486,-5.980990409851074,0.19166749715805054
6.739999771118164,-6.123194217681885,0.19720037281513214
6.75,-6.266931533813477,0.20262207090854645
6.760000228881836,-6.403348922729492,0.20790798962116241
6.769999980926514,-6.531108379364014,0.21299618482589722
6.78000020980835,-6.6597065925598145,0.2179485559463501
6.789999961853027,-6.77982759475708,0.22270320355892181
6.800000190734863,-6.9016242027282715,0.22734665870666504
6.809999942779541,-7.022243022918701,0.23185420036315918
6.820000171661377,-7.139081954956055,0.2361641824245453
6.829999923706055,-7.250549793243408,0.24036294221878052
6.840000152587891,-7.358567714691162,0.24445053935050964
6.849999904632568,-7.466659069061279,0.24842697381973267
6.860000133514404,-7.558812618255615,0.2522672712802887
6.869999885559082,-7.647324562072754,0.25591015815734863
6.880000114440918,-7.735451698303223,0.2594418525695801
6.889999866485596,-7.8194193840026855,0.26283738017082214
6.900000095367432,-7.899331569671631,0.2660355567932129
6.909999847412109,-7.979198932647705,0.269147664308548
6.920000076293945,-8.063867568969727,0.272209495306015
6.929999828338623,-8.142903327941895,0.27504897117614746
6.940000057220459,-8.214447975158691,0.2776912748813629
6.949999809265137,-8.282898902893066,0.28022241592407227
6.960000038146973,-8.346880912780762,0.2826423645019531
6.96999979019165,-8.402305603027344,0.2849511206150055
6.980000019073486,-8.45055866241455,0.28714871406555176
6.989999771118164,-8.509720802307129,0.2892096936702728
7,-8.556527137756348,0.291073739528656
7.010000228881836,-8.60637378692627,0.2928266227245331
7.019999980926514,-8.650444030761719,0.29446831345558167
7.03000020980835,-8.691859245300293,0.2959732711315155
7.039999961853027,-8.720298767089844,0.29725587368011475
7.050000190734863,-8.741524696350098,0.2983417212963104
7.059999942779541,-8.75914478302002,0.2992907166481018
7.070000171661377,-8.770659446716309,0.3000430762767792
7.079999923706055,-8.781649589538574,0.30068424344062805
7.090000152587891,-8.79356861114502,0.3011884093284607
7.099999904632568,-8.798160552978516,0.3014702796936035
7.110000133514404,-8.79826545715332,0.30152973532676697
7.119999885559082,-8.786978721618652,0.30136680603027344
7.130000114440918,-8.771505355834961,0.3010074496269226
7.139999866485596,-8.74928092956543,0.3004850447177887
7.150000095367432,-8.718157768249512,0.299655020236969
7.159999847412109,-8.680230140686035,0.2986026108264923
7.170000076293945,-8.640115737915039,0.2973018288612366
7.179999828338623,-8.603829383850098,0.295693576335907
7.190000057220459,-8.569986343383789,0.2938629388809204
7.199999809265137,-8.53352165222168,0.29180994629859924
7.210000038146973,-8.4940767288208,0.28956079483032227
7.21999979019165,-8.44301700592041,0.28714796900749207
7.230000019073486,-8.375198364257812,0.2844541370868683
7.239999771118164,-8.300616264343262,0.28162282705307007
7.25,-8.215229034423828,0.27856913208961487
7.260000228881836,-8.128867149353027,0.27531948685646057
7.269999980926514,-8.039841651916504,0.2719321846961975
7.28000020980835,-7.953588962554932,0.2683490216732025
7.289999961853027,-7.879466533660889,0.26465466618537903
7.300000190734863,-7.8073554039001465,0.260822594165802
7.309999942779541,-7.724016189575195,0.2567947208881378
7.320000171661377,-7.631521224975586,0.25265565514564514
7.329999923706055,-7.51628303527832,0.24837875366210938
7.340000152587891,-7.391274452209473,0.24393285810947418
7.349999904632568,-7.252202987670898,0.23943354189395905
7.360000133514404,-7.114557266235352,0.23473858833312988
7.369999885559082,-6.987524032592773,0.22993245720863342
7.380000114440918,-6.865732192993164,0.22501514852046967
7.389999866485596,-6.760210990905762,0.22001352906227112
7.400000095367432,-6.664409160614014,0.2149849832057953
7.409999847412109,-6.56379508972168,0.20984525978565216
7.420000076293945,-6.438506126403809,0.2046213299036026
7.429999828338623,-6.292301177978516,0.1993703842163086
7.440000057220459,-6.130563259124756,0.1940353363752365
7.449999809265137,-5.9512715339660645,0.18867316842079163
7.460000038146973,-5.782444000244141,0.18325406312942505
7.46999979019165,-5.6249098777771,0.1778918206691742
7.480000019073486,-5.491608619689941,0.17244558036327362
7.489999771118164,-5.387421607971191,0.1670266091823578
7.5,-5.291626453399658,0.16171877086162567
7.510000228881836,-5.190709114074707,0.15652213990688324
7.519999980926514,-5.066224098205566,0.15140937268733978
7.53000020980835,-4.918898582458496,0.14635132253170013
7.539999961853027,-4.743311405181885,0.1414882391691208
7.550000190734863,-4.561130046844482,0.136681467294693
7.559999942779541,-4.381165504455566,0.13184593617916107
7.570000171661377,-4.229011535644531,0.1272052526473999
7.579999923706055,-4.096131324768066,0.1226482018828392
7.590000152587891,-3.9879837036132812,0.1180911660194397
7.599999904632568,-3.901613473892212,0.1135617345571518
7.610000133514404,-3.8133485317230225,0.10914349555969238
7.619999885559082,-3.7120633125305176,0.1048087477684021
7.630000114440918,-3.5952694416046143,0.10052946209907532
7.639999866485596,-3.4542813301086426,0.09644477814435959
7.650000095367432,-3.302705764770508,0.09247127175331116
7.659999847412109,-3.1464126110076904,0.08860894292593002
7.670000076293945,-3.0209248065948486,0.08485781401395798
7.679999828338623,-2.904700517654419,0.08121786266565323
7.690000057220459,-2.8073861598968506,0.07768908888101578
7.699999809265137,-2.7283945083618164,0.07427150756120682
7.710000038146973,-2.6542952060699463,0.07099312543869019
7.71999979019165,-2.5792593955993652,0.06788099557161331
